date,trend1,trend2,trend3
10-18-2021,เตือนผู้ใช้บัตรเครดิต-เดบิต ตรวจสอบธุรกรรมออนไลน์ ก่อนเสี่ยงข้อมูลรั่ว,อ๊อด คีรีบูน,
10-19-2021,เตือนด่วน! อย่านำบัตรเครดิตหรือบัตรเดบิต ไปทำธุรกรรมการเงินออนไลน์,สาวงาม 30 คนสุดท้าย MUT 2021 “รอบชุดว่ายน้ำ”,
10-20-2021,คิมซอนโฮ แถลงการณ์ขอโทษ ปมแฟนเก่า,ศาลจังหวัดนครสวรรค์ ระบุ 'มาวิน' ถูก ผกก.โจ้ ใช้ถุงคลุมหัวนาน 6 นาทีจนเสียชีวิต,ยูฟ่า แชมเปียนส์ ลีก 2021-2022
10-21-2021,"เต้ ""มงคลกิตติ์"" งานเข้า ถูกตร.แจ้งเพิ่มอีกข้อหา ""หมิ่นประมาทฯ""",ศาลอาญากรุงเทพใต้ไม่ให้ประกันตัว ‘เบนจา’ ทั้ง 2 คดี หลังทนายและธนาธรยื่นประกันเช้านี้,MUT 2021 รอบพรีลิมฯ 30 สาวงามอวดโฉม ออร่าสะพรั่ง โชว์พลังแห่งสตรี
10-22-2021,MUT 2021 รอบพรีลิมฯ 30 สาวงามอวดโฉม ออร่าสะพรั่ง โชว์พลังแห่งสตรี,,
10-23-2021,วันปิยมหาราช,ประมวลภาพชุดราตรี สาวงาม MUT 2021 สวย ปัง ออร่าพุ่ง รอบพรีลิมฯ,
10-24-2021,MissUniverseThailand2021,พระเกี้ยว,
10-25-2021,พระเกี้ยว,MissUniverseThailand2021,
10-26-2021,หนึ่งจักรวาล,แอนชิลี สก็อต-เคมมิส,"โควิด-19 สายพันธุ์ย่อย ""เดลตาพลัส"" AY.4.2"
10-27-2021,หนึ่งจักรวาล,ตัดเชือกช่างทาสี,แอนชิลี สก็อต-เคมมิส
10-28-2021,"YG Entertainment แถลง ""ลิซ่า"" มาเคาท์ดาวน์ไม่ได้แล้ว พร้อมให้เหตุผล",ศาลพิพากษาลุงพลทำร้ายนักข่าวปรับ5พัน คุก1เดือน รอลงอาญา 1ปี,เปิดประวัติ อุ๊งอิ๊ง แพทองธาร สายเลือดการเมืองตระกูล ชินวัตร
10-29-2021,พระมหาไพรวัลย์,เปิดประวัติ อุ๊งอิ๊ง แพทองธาร สายเลือดการเมืองตระกูล ชินวัตร,ข้อสอบเอ็นทรานซ์รั่ว
10-30-2021,พระมหาไพรวัลย์,โอ๊ต ปราโมทย์ และดีเจอาร์ต พาผู้เสียหาย แจ้งความ หลังถูกหลอกซื้อของ,ข้อสอบเอ็นทรานซ์รั่ว
10-31-2021,"""นายกฯ"" คณะเดินทางถึง กลาสโกว์แล้วร่วมประชุม COP 26",Squid Game,
11-01-2021,#ตรวจหวย,"""นายกฯ"" คณะเดินทางถึง กลาสโกว์แล้วร่วมประชุม COP 26",
11-02-2021,อนุสัญญาสหประชาชาติCOP26,"""ติ๊ก เจษฎา-แพนเค้ก เขมนิจ"" ไม่รู้เรื่องพรรคไทยพัฒนา ชี้เป็น Fake News",BitKub
11-03-2021,ข่าวลึกปมลับ : “วิรัช”ปิดฉาก ประธานวิป รบ.คนใหม่ต้อง”สายตรงนายกฯ”,อนุสัญญาสหประชาชาติCOP26,กองปราบนำสำนวนส่งอัยการฟ้อง “ผกก.โจ้” พร้อมพวก 4 ข้อหา
11-04-2021,อนุสัญญาสหประชาชาติCOP26,สนั่นโซเชียล ตร.เปิดไซเรนนำขบวน “วีไอพี” ย้อนศรฝ่ารถติด,
11-05-2021,คลับเฮาส์TOXICเหยียดคนอีสาน,รร.คำสร้อยพิทยาสรรค์,
11-06-2021,คลับเฮาส์TOXICเหยียดคนอีสาน,PattayaMusic2021,ไฟเซอร์ เผย ยาเม็ดต้านโควิด-19 ของตนช่วยลดความเสี่ยงอาการป่วยรุนแรงได้ 89%
11-07-2021,รัฐบาล ตั้งเป้าผลิตสมุนไพรชั้นนำ ผลิตยาจากกัญชามาตรฐานโลก,PattayaMusic2021,คลับเฮาส์TOXICเหยียดคนอีสาน
11-08-2021,"รู้จัก ""แพกซ์โลวิด"" และ ""โมลนูพิราเวียร์"" ทางเลือกใหม่ รักษาโควิด",คลับเฮาส์TOXICเหยียดคนอีสาน,
11-09-2021,"รู้จัก ""แพกซ์โลวิด"" และ ""โมลนูพิราเวียร์"" ทางเลือกใหม่ รักษาโควิด",คลับเฮาส์TOXICเหยียดคนอีสาน,
11-10-2021,ศาลรัฐธรรมนูญ,สลด! ส.จ.ดำ เมืองคอน เครียดเป็นหนี้ท่วม ก่อเหตุฆ่ายกครัว 4 ศพ พบเป็นลูกหนี้ ‘สมรักษ์ คำสิงห์’,
11-11-2021,Shopee1111,ล้มล้างการปกครอง,"""เสี่ยโจ้"" เผ่นข้ามแดน"
11-12-2021,ล้มล้างการปกครอง,“ผกก.โจ้” และพวก ประเดิม ม.289(5) ฆ่าโดยทรมาน โทษประหารสถานเดียว,
11-13-2021,ล้มล้างการปกครอง,APEC 2022 : เปิดกว้างสร้างสัมพันธ์ เชื่อมโยงกัน สู่สมดุล,
11-14-2021,ม็อบ14พฤศจิกา64,"งานวิวาห์ ""ดิม Tattoo Colour"" แต่งงานแฟนที่คบกันมา 10 ปี",
11-15-2021,วัยรุ่นช้ำ Big Mountain ประกาศยกเลิกคอนเสิร์ต ป๋าเต็ด ลั่นพยายามที่สุดแล้ว,"""บิ๊กตู่"" นำครม. เปิดศูนย์จำหน่ายผลิตภัณฑ์ชุมชน OTOP แห่งแรกไทย",หวย
11-16-2021,#ตรวจหวย,นายกแถลง ณ ห้องประชุมโภคีธารา โรงแรมโซฟิเทล กระบี่,“ฝนดาวตกลีโอนิดส์” คืน 17 รุ่งเช้า 18 พ.ย.
11-17-2021,"Re-Solution ชูเป้าหมายชัดเจนคือการ ""ล้มระบอบประยุทธ์""",ข้อห้ามวันลอยกระทง,‘อนุทิน’ แจงเหตุไทยหลุดโผ 95 ประเทศที่ได้รับสูตร ‘แพกซ์โลวิด’
11-18-2021,ลอยกระทง,,
11-19-2021,ลอยกระทง,"""อดีตผู้กำกับโจ้"" สารภาพกลางศาล รับผิดเพียง 3 ข้อหา พูดปมรีดเงิน ลูกน้องซัดนายสั่ง",Miss Grand International 2021
11-20-2021,รองโฆษกเพื่อไทย เหน็บ “บิ๊กตู่” ไม่เคยแก้ปัญหาปากท้องให้ประชาชนสำเร็จ,สัมมนาหอการค้าทั่วประเทศ 20-21 พ.ย.,ลอยกระทง
11-21-2021,"ตั้งรางวัลนำจับ 50,000 บาท โจรชิงทองห้างดังขอนแก่น",สัมมนาหอการค้าทั่วประเทศ 20-21 พ.ย.,"""สุเทพ"" มั่นใจรัฐบาลอยู่ครบเทอม เชื่อ ""บิ๊กตู่"" สามารถแก้ไขปัญหาปท.ได้"
11-22-2021,ต้อม ยุทธเลิศ ไอซ์ รักชนก,ดีลTRUE DTAC,
11-23-2021,พัคชินฮเย ชเวแทจุน,ดราม่า แอนชิลี สก็อต,
11-24-2021,หวั่นโควิดโผล่ซ้ำ ร้านอาหารกลางกรุงฯ เซ็นทรัลเวิลด์แจงคลัสเตอร์ Groove,แอมแนสตี้,ดราม่า แอนชิลี สก็อต
11-25-2021,ตากล้องข่มขืนนางงาม,แอมแนสตี้,
11-26-2021,เวียร์เบลล่า,โควิดสายพันธ์ุใหม่,ช่างภาพข่มขืนนางงาม
11-27-2021,Omicron,แอมแนสตี้,วัคซีนโควิดสัญชาติไทย 4 ยี่ห้อ
11-28-2021,Omicron,สมรสเท่าเทียม,
11-29-2021,แบนลูกหนัง,Omicron,
11-30-2021,Omicron,หวย,
12-01-2021,หวยรัฐบาล,Omicron,ดีเอสไอ ส่งสำนวนคดีพิเศษ โครงการจัดซื้อ เสาไฟกินรี ให้ ป.ป.ช.
12-02-2021,AFFSUZUKICUP,,
12-03-2021,พระมหาไพรวัลย์ ลาสิกขาแล้ว เดินทางไปหาแม่เตรียมจะผ่าตัด,,
12-04-2021,Miss Grand Thailand 2021,ทิดไพรวัลย์,
12-05-2021,5 ธันวาคม เป็นวันคล้ายวันพระบรมราชสมภพของรัชกาลที่ 9,Miss Grand International 2021,
12-06-2021,โอไมครอน,,
12-07-2021,AFFSUZUKICUP,,
12-08-2021,คดีเสือดำ: เปรมชัย กรรณสูต สิ้นอิสรภาพ ,,
12-09-2021,ดร.สุชัชวีร์ สุวรรณสวัสดิ์ ลาออกจากตำแหน่งอธิการบดีสจล.,AFFSUZUKICUP,คดีเสือดำ เปรมชัย กรรณสูต
12-10-2021,Miss Universe 2021 : แอนชิลี เตรียมขนชุดนางคาด-ประกวดรอบพรีลิม,ดร.สุชัชวีร์ สุวรรณสวัสดิ์ ลาออกจากตำแหน่งอธิการบดีสจล.,
12-11-2021,MissUniverseThailand2021,,
12-12-2021,#RealSizeBeauty,เทศกาลช้อปลดราคา1212,
12-13-2021,ดร.สุชัชวีร์ สุวรรณสวัสดิ์ ลาออกจากตำแหน่งอธิการบดีสจล.,#RealSizeBeauty,
12-14-2021,AFFSUZUKICUP,MissUniverseThailand2021,"เพื่อนโพสต์อาลัย ""ส.ท.ชนากร"" ศิษย์การบินทหารบก หลังเฮลิคอปเตอร์ตกเสียชีวิต"
12-15-2021,ทิดไพรวัลย์,หวย,"ไทยพบผู้ป่วย ‘โอไมครอน’ เพิ่มอีก 3 ราย รวมเป็น 14 ราย"
12-16-2021,พิมรี่พาย,ตรวจหวย,AFFSUZUKICUP
12-17-2021,"ตร.เตรียมขอหมายจับหมอปลอมใบวิชาชีพคลินิก ""พิมรี่พาย""",พระมหาสมปอง กราบลา พระพยอม เตรียมลาสิกขา 29 ธ.ค. นี้,
12-18-2021,AFFSUZUKICUP,พิมรี่พาย,RealSizeBeauty
12-19-2021,"""โอไมครอน"" โผล่ภูเก็ตอีก 5 ราย เป็นคนไทยติด 1 ราย กลับจากแสวงบุญอุมเราะห์",จับแล้ว!‘หมอเก๊’ปลอมใบอนุญาตเข้าทำงานคลินิก’พิมรี่พาย’,
12-20-2021,บิ๊กตู่' ปลื้มโพลยกยืนหนึ่งครองใจปชช. 'คนละครึ่ง' ผลงานชิ้นโบว์แดงรัฐบาล,บาส-ปอป้อ เดชาพล-ทรัพย์สิรี คว้าแชมป์คู่ผสม แบดมินตันชิงแชมป์โลก 2021,"ศบค.เปิด 4 คลัสเตอร์พบผู้ติด""โอมิครอน""ในไทย"
12-21-2021,AFFSUZUKICUP,เปิดไทม์ไลน์ ‘นักท่องเที่ยว เกาะสมุย’ ติดโควิดโอมิครอน,ครม.รับทราบ งดเก็บเงินทางด่วน ‘บูรพาวิถี-กาญจนาภิเษก’ ช่วงปีใหม่
12-22-2021,AFFSUZUKICUP,ด่วน! ศาลรัฐธรรมนูญ วินิจฉัย 'สิระ เจนจาคะ' พ้นสภาพ ส.ส.,“โอมิครอน” โค่น “เดลตา” ขึ้นแท่นโควิดสายพันธุ์หลักในสหรัฐฯ
12-23-2021,AFFSUZUKICUP,สิระปิดฉากการเมือง ศาลรธน.7:2สั่งพ้นส.ส.ปมเคยติดคุก/สภาเรียกเงินคืน,
12-24-2021,"ก้าวไกล เคาะเลือก ""เพชร กรุณพล"" ลงสู้ศึกเลือกตั้งซ่อม กทม. แทนที่ สิระ","""มาดามแป้ง"" ชมสปิริตทีมชาติไทย หลังอัดเวียดนาม 2-0 เลกแรก","อธิบดีกรมวิทย์ฯ เผยไทยพบผู้ติดเชื้อโควิด-19 สายพันธุ์ ""โอมิครอน"" 205 ราย"
12-25-2021,Christmas Day,เปิดฉายา “ตำรวจ” ปี 64 ผบ.ตร. “หมอปั๊ด ตัดเนื้อร้าย” ด้าน “บิ๊กโจ๊ก” คัมแบ็ก,
12-26-2021,AFFSUZUKICUP,,
12-27-2021,AFFSuzukiCup,RealSizeBeauty,
12-28-2021,เพลิงไหม้นิคมลาดกระบัง,AFFSUZUKICUP,"เปิดใจ ""นศ.สวนสุนันทา"" เจ้าของแชมป์โลกมวยไทยสมัครเล่น"
12-29-2021,อินโดนีเซีย แพ้ ไทย ศึก AFF Suzuki Cup รอบชิงนัดแรก,"สธ.ตรวจพบผู้ติดเชื้อโควิดสายพันธุ์ ""โอมิครอน"" 740 ราย",ช่อง “MONO29” ชวนต้อนรับปีใหม่ผ่านจอ
12-30-2021,สวัสดีปีใหม่2565,"AFF ชูจังหวะ ""โรลเลอร์"" ใส่พาน ""ชนาธิป"" ทักษะแห่งยกแรก ซูซูกิ คัพ รอบชิง",
12-31-2021,สวัสดีปีใหม่2565,AFFSUZUKICUP,"ไฟไหม้ร้านอาหารดัง ""ช็อกโกแลตวิลล์"" ย่านรามอินทรา เสียหายทั้งหลัง 1 อาคาร"
